Date,Open,High,Low,Close,Volume
2015-10-30,194.32,197.45,194.32,196.78,3639
2015-11-02,196.98,199.44,193.73,195.72,7519
2015-11-03,196.69,197.7,195.58,197.7,2937
2015-11-04,197.27,199.93,197.12,197.45,10504
2015-11-05,197.79,202.34,197.74,199.64,5470
2015-11-06,208.78,211.96,201.71,205.72,29330
2015-11-09,204.51,206.15,202.78,205.04,10996
2015-11-10,202.97,203.16,198.33,201.42,7997
2015-11-11,198.47,206.25,198.47,204.38,5867
2015-11-12,198.67,205.04,198.67,200.7,10687
2015-11-13,197.99,200.02,194.75,196.54,5464
2015-11-16,195.48,196.78,191.41,196.25,6651
2015-11-17,196.06,198.52,196.06,197.55,3483
2015-11-18,195.29,199.49,195.05,199.1,5691
2015-11-19,197.17,202.14,196.69,199.78,6812
2015-11-20,200.16,201.09,199.3,200.31,3703
2015-11-23,201.42,201.42,200.16,200.21,4496
2015-11-24,200.7,200.7,193.73,195.34,3484
2015-11-25,196.59,198.04,194.03,196.64,4246
2015-11-26,196.39,197.5,193.98,194.41,4409
2015-11-27,192.58,194.61,192.34,192.58,6114
2015-11-30,190.99,196.73,190.99,195.09,4287
2015-12-01,194.27,199.54,192.34,198.42,10203
2015-12-02,197.27,200.79,197.07,200.07,5373
2015-12-03,201.04,202.68,198.18,199.1,6519
2015-12-04,197.22,198.86,194.61,195.53,4424
2015-12-07,195.86,199.54,195.72,199.1,5784
2015-12-08,198.62,200.55,195.72,199.3,7239
2015-12-09,198.57,200.21,197.22,199.83,5213
2015-12-10,200.21,200.21,197.79,199.35,2920
2015-12-11,199.35,199.35,190.5,193.16,4113
2015-12-14,193.36,193.36,187.89,188.33,3723
2015-12-15,190.74,194.56,190.06,191.51,3242
2015-12-16,191.51,191.51,189.3,190.99,3066
2015-12-17,193.06,195.86,193.06,195.14,3810
2015-12-18,195.29,195.29,185.53,185.53,15702
2015-12-21,185.14,186.34,183.73,183.73,9544
2015-12-22,181.03,186.3,180.98,184.7,2748
2015-12-23,184.85,191.18,184.85,190.35,5749
2015-12-28,190.4,192.58,188.18,188.18,3302
2015-12-29,188.18,196.73,188.18,195.67,3398
2015-12-30,192.87,195.34,191.56,192,1141
2016-01-04,189.3,192.82,185.33,185.63,2709
2016-01-05,189.92,192,188.03,191.13,5478
2016-01-06,191.22,192.72,184.8,186.15,3204
2016-01-07,185.82,186.25,180.11,182.95,5136
2016-01-08,182.95,183.88,176.54,177.02,2624
2016-01-11,176.44,181.23,175.47,177.99,4083
2016-01-12,176.88,190.55,176.88,189.44,3929
2016-01-13,191.18,191.18,180.69,180.89,2998
2016-01-14,177.9,183.54,176.92,181.71,4203
2016-01-15,180.35,182.62,174.98,177.36,3652
2016-01-18,175.52,177.07,169.15,169.15,6579
2016-01-19,170.11,181.86,170.11,181.52,6724
2016-01-20,179.48,179.48,173.16,175.37,2910
2016-01-21,174.89,175.22,172.09,173.4,2949
2016-01-22,171.65,179.58,171.65,177.36,2562
2016-01-25,178.03,181.32,178.03,181.08,1491
2016-01-26,180.64,183.15,179.53,182.76,3589
2016-01-27,181.03,182.33,180.98,181.71,3522
2016-01-28,177.85,180.35,176.73,177.12,2149
2016-01-29,178.94,179.92,176.39,179.92,2076
2016-02-01,181.61,181.91,179.38,179.77,1984
2016-02-02,179.33,180.06,177.94,178.56,1417
2016-02-03,177.85,179.33,174.45,175.13,4779
2016-02-04,176.1,177.9,173.63,177.36,6454
2016-02-05,177.36,177.6,174.22,175.56,4451
2016-02-08,175.9,176.15,166.86,167.2,6770
2016-02-09,167.88,167.88,162.81,162.81,5763
2016-02-10,162.33,169.15,162.13,165.47,4907
2016-02-11,163.82,164.8,161.99,162.57,2853
2016-02-12,162.67,165.66,161.55,162.72,2640
2016-02-15,162.95,172.04,162.95,171.17,5438
2016-02-16,173.92,173.92,168.95,171.02,3051
2016-02-17,170.11,178.31,170.11,177.99,2230
2016-02-18,178.31,182.52,173.97,182.47,7987
2016-02-19,181.27,189.44,180.11,188.71,9279
2016-02-22,190.99,194.27,185.63,189.34,9055
2016-02-23,188.52,192.77,187.74,187.74,3053
2016-02-24,188.42,188.42,183.29,184.51,7211
2016-02-25,184.61,188.47,184.31,187.99,3228
2016-02-26,185.86,191.56,185.86,190.4,2296
2016-02-29,188.42,191.03,188.42,190.79,1673
2016-03-01,191.75,194.71,191.61,192.48,7499
2016-03-02,190.89,194.07,190.89,191.61,4385
2016-03-03,192.09,193.11,189.44,189.64,2497
2016-03-04,190.01,190.4,188.96,190.16,2885
2016-03-07,190.16,190.55,188.03,188.57,1662
2016-03-08,188.66,189.05,186.34,187.84,1957
2016-03-09,188.18,189.25,187.69,187.89,1230
2016-03-10,188.28,189.54,182.71,183.78,2221
2016-03-11,185.67,188.47,185.48,188.13,1884
2016-03-14,187.99,189.67,187.26,188.47,2364
2016-03-15,188.47,189.1,187.94,187.99,2323
2016-03-16,187.01,188.66,187.01,187.79,1166
2016-03-17,188.47,188.47,186.82,187.69,1271
2016-03-18,186.05,188.42,179.04,180.64,11505
2016-03-21,181.27,188.03,180.89,186.82,3053
2016-03-22,185.38,185.96,183.54,184.8,957
2016-03-23,187.79,188.33,185.91,187.74,2814
2016-03-24,187.5,187.5,184.31,185.63,916
2016-03-29,186.73,187.01,184.12,186.97,1453
2016-03-30,188.18,188.18,184.22,187.6,1207
2016-03-31,186.68,188.18,186.68,187.55,1618
2016-04-01,187.01,188.03,186.05,187.26,2441
2016-04-04,184.65,187.99,184.65,187.6,1286
2016-04-05,184.46,188.08,183.93,185.48,1227
2016-04-06,187.69,187.69,184.41,184.9,1272
2016-04-07,185.48,187.21,184.85,186.1,1805
2016-04-08,185.48,187.6,185.48,187.5,7910
2016-04-11,187.69,187.94,186.39,187.4,1670
2016-04-12,186.68,187.26,184.65,185.91,2463
2016-04-13,187.45,188.18,183.63,184.27,4309
2016-04-14,184.27,185.96,184.27,185.38,2336
2016-04-15,185.14,185.58,183.15,183.54,1977
2016-04-18,181.27,185.91,181.27,184.85,885
2016-04-19,186.3,187.69,186.3,187.16,2084
